Fecha,BRL,CLP,COP,KRW,ZAR,INR,MXN,PEN,PLN,CZK,RUB,THB,TRY,HUF,ILS,DXY,ARS,CNY,IDR,MYR
01/01/23,5.2804,851.13,4847.31,1265.5,16.9996,82.735,19.4999,3.806,4.3763,22.5638,74.1875,34.605,18.71,373.34,3.5158,103.494,177.132,6.8986,15573.0,4.404
02/01/23,5.3597,851.13,4851.0,1273.5,16.9958,82.745,19.4684,3.806,4.3768,22.646,71.4901,34.605,18.7151,376.45,3.5055,103.494,178.1445,6.8986,15573.0,4.404
03/01/23,5.4627,859.5,4898.23,1271.6,17.0131,82.8887,19.407,3.823,4.4324,22.8274,72.595,34.405,18.7218,379.43,3.5289,104.518,178.3759,6.915,15601.0,4.4093
04/01/23,5.4316,855.61,4916.37,1272.0,16.8839,82.8075,19.3822,3.8377,4.4008,22.6165,72.75,34.045,18.746,373.11,3.529,104.248,178.663,6.8973,15583.0,4.3985
05/01/23,5.3529,852.75,4966.81,1269.5,17.1665,82.5538,19.326,3.813,4.4528,22.8617,72.625,33.95,18.7644,376.53,3.5463,105.042,178.935,6.8804,15617.0,4.3878
06/01/23,5.225,841.0,4855.0,1268.75,17.107,82.7263,19.1522,3.7725,4.4114,22.5723,72.4748,34.045,18.7165,370.72,3.5012,103.911,179.2479,6.828,15633.0,4.4032
07/01/23,5.225,841.0,4855.0,1268.75,17.107,82.7263,19.1522,3.7725,4.4114,22.5723,72.4748,34.045,18.7165,370.72,3.5012,103.911,179.2479,6.828,15633.0,4.4032
08/01/23,5.225,841.0,4855.0,1268.75,17.1574,82.7263,19.1479,3.7725,4.4126,22.5696,72.4748,34.045,18.7165,371.76,3.5012,103.911,179.2479,6.828,15633.0,4.4032
09/01/23,5.2585,835.5,4853.73,1243.85,16.9274,82.3575,19.1526,3.801,4.3752,22.368,69.5416,33.49,18.7532,369.48,3.474,103.001,180.1059,6.7719,15568.0,4.3733
10/01/23,5.2041,828.3,4787.72,1243.8,17.0145,81.7888,19.0686,3.7955,4.3713,22.3388,69.6761,33.52,18.7751,371.29,3.4633,103.236,180.3855,6.7795,15576.0,4.3725
11/01/23,5.1647,823.5,4733.5,1246.05,16.9179,81.575,18.9295,3.7865,4.357,22.3409,69.0668,33.347,18.7758,370.35,3.4373,103.188,180.68,6.765,15482.0,4.3702
12/01/23,5.101,818.5,4691.7,1245.65,16.7535,81.5525,18.84,3.787,4.3252,22.148,68.1729,33.355,18.7811,366.0,3.4122,102.246,180.974,6.7295,15339.0,4.359
13/01/23,5.1034,819.98,4685.7,1241.35,16.8287,81.3388,18.7663,3.811,4.334,22.1486,68.9938,32.972,18.7932,366.13,3.4129,102.18,181.266,6.701,15149.0,4.3348
14/01/23,5.1034,819.98,4685.7,1241.35,16.8287,81.3388,18.7663,3.811,4.334,22.1486,68.9938,32.972,18.7932,366.13,3.4129,102.18,181.266,6.701,15149.0,4.3348
15/01/23,5.1034,819.98,4685.7,1241.35,16.8625,81.3388,18.7821,3.811,4.3319,22.1322,68.9938,32.972,18.7932,366.06,3.4129,102.18,181.266,6.701,15149.0,4.3348
16/01/23,5.1527,822.24,4699.9,1235.65,17.0209,81.615,18.7791,3.8177,4.3322,22.1963,68.75,32.978,18.7868,368.48,3.4117,102.204,182.1795,6.7382,15045.0,4.3173
17/01/23,5.1052,815.58,4731.25,1238.9,17.0494,81.7663,18.6611,3.8296,4.3561,22.1994,68.6277,33.105,18.7496,368.06,3.407,102.39,182.4993,6.772,15165.0,4.3258
18/01/23,5.1815,823.38,4714.2,1237.55,17.1064,81.245,18.8897,3.8373,4.3697,22.1952,69.091,32.84,18.7617,365.38,3.3911,102.363,182.816,6.7578,15088.0,4.3158
19/01/23,5.1767,826.01,4659.8,1232.45,17.2764,81.36,18.9949,3.8607,4.3589,22.0854,69.3112,33.037,18.7562,363.98,3.4054,102.058,183.1045,6.7755,15104.0,4.3073
